FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
362,310,Halkaisijantie,Klyvarvägen,Halkaisijantie,Halkaisijantie 4,Klyvarvägen 4, , , ,18,25.1279098203443,60.2023869312805
363,311,Ramsinniementie,Ramsöuddsvägen,Ramsinniementie,Ramsinniementie 1,Ramsöuddsvägen 1, , , ,18,25.1199060794359,60.1995636503578
364,312,Meri-Rastilan tori,Havsrastböletorget,Meri-Rastilan tori,Meri-Rastilan kuja 2,Havsrastbölegränden 2, , , ,16,25.1194224144705,60.2041542257304
365,313,Rastila (M),Rastnöle (M),Rastila (M),Karavaanisilta 3,Karavanbron 3, , , ,16,25.1201408621083,60.2055354689175
366,314,Lokitie,Loggvägen,Lokitie,Vuosaarentie 1,Nordsjövägen 1, , , ,18,25.1365036011866,60.2095580685415
367,316,Punakiventie,Rödstensvägen,Punakiventie,Punakiventie 12,Rödstensvägen 12, , , ,16,25.1467500568672,60.2140014852962
368,317,Haapasaarentie,Aspholmsvägen,Haapasaarentie,Marielundinaukio 1,Marielundsplatsen 1, , , ,18,25.146787178183,60.2187766341847
369,318,Vuosaaren puistopolku,Nordsjö parkstig,Vuosaaren puistopolku,Mustalahdenpolku 2,Svartviksstigen 2, , , ,14,25.1410953624725,60.221320897051
370,319,Purjetie,Segelvägen,Purjetie,Kallvikintie,Kallviksvägen, , , ,18,25.1338286912921,60.2196483224979
371,320,Koukkusaarentie,Krokholmsvägen,Koukkusaarentie,Kallvikintie,Kallviksvägen, , , ,16,25.1342325127583,60.213980722047
372,321,Vartioharjuntie,Botåsvägen,Vartioharjuntie,Vartioharjuntie 13,Botåsvägen 13, , , ,14,25.110914414719,60.2208894708644
373,322,Rukatunturintie,Rukatunturivägen,Rukatunturintie,Mellunmäentie 27,Mellungsbackavägen 27, , , ,14,25.1275969785102,60.2312813452731
374,323,Sallatunturintie,Sallatunturivägen,Sallatunturintie,Sallatunturintie 2,Sallatunturivägen 2, , , ,16,25.118300016596,60.2367409143469
375,325,Mellunmäki (M),Mellungsbacka (M),Mellunmäki (M),Pallaksentie 3,Pallasvägen 3, , , ,20,25.1098747367064,60.2385353540219
376,324,Sinkilätie,Märlvägen,Sinkilätie,Untamalantie 2,Untamalavägen 2, , , ,16,25.1110602327979,60.2329614527257
377,327,Humikkalankuja,Humikkalagränd,Humikkalankuja,Rintinpolku 2,Grindstigen 2, , , ,16,25.0900641525363,60.2298249948271
378,328,Lallukankuja,Lallukkagränden,Lallukankuja,Lallukankuja 1,Lallukkagränden 1, , , ,12,25.082971174464,60.2235265780465
379,329,Kurkimäki,Tranbacka,Kurkimäki,Kurkimäentie 3,Tranbackavägen 3, , , ,16,25.0716416497357,60.2282903943644
380,330,Kontula (M),Gårdsbacka (M),Kontula (M),Kontulankaari 1,Gårdsbackabågen 1, , , ,20,25.0826095549619,60.2360953526154
381,326,Tuukkalantie,Tuukkalavägen,Tuukkalantie,Aarteenetsijäntie 10,Skattsökarvägen 10, , , ,16,25.1007232150956,60.2388442456374
382,331,Lettopolku,Gungflystigen,Lettopolku,Lettopolku 2,Gungflystigen 2, , , ,16,25.0855297731565,60.240913939764
383,332,Kontulankaari,Gårdsbackabågen,Kontulankaari,Kontulankaari 7,Gårdsbackabågen 7, , , ,16,25.076226580763,60.2438416352054
384,333,Kivikonkaari,Stensbölebågen,Kivikonkaari,"Kontulankaari 8, toinen puoli","Gårdsbackabågen 8, andra sidan", , , ,14,25.0746433427518,60.2399042915928
385,334,Varustuksentie,Rustningsvägen,Varustuksentie,Varustuksentie 1,Rustningsvägen 1, , , ,14,25.0668572558023,60.2391310073666
386,335,Kurkimäentie,Tranbackavägen,Kurkimäentie,Kivikonkaari 30,Stensbölebågen 30, , , ,16,25.0626083649392,60.2331943880568
387,336,Kivikonlaita,Stensbölekanten,Kivikonlaita,Kivikonlaita 2,Stensbölekanten 2, , , ,16,25.0549152254879,60.230462178329
388,337,Kivikon liikuntapuisto,Stensböle idrottspark,Kivikko sports park,Savikiekontie 6,Lerduvevägen 6, , , ,16,25.0524695830581,60.23703581972
389,338,Jakomäentie,Jakobackavägen,Jakomäentie,Jakomäentie 18,Jakobackavägen 18, , , ,16,25.0743775866131,60.2537712252939
390,340,Jakomäki,Jakobacka,Jakomäki,Jakomäenkuja 2,Jakobackagränden 2, , , ,16,25.0759055985793,60.2610194104155
391,339,Alppikylä,Alpbyn,Alppikylä,Tattariharjuntie 51,Tattaråsvägen 51, , , ,14,25.0648942053969,60.259431119227
392,341,Heikinlaakso,Henriksdal,Heikinlaakso,Vanha Porvoontie 32,Gamla Borgåvägen 32, , , ,16,25.0727127107009,60.2701965544061
393,342,Puistolan VPK,Parkstads FBK,Puistolan VPK,Puistolan raitti 5,Parkstads bygata 5, , , ,18,25.0575355661699,60.2700856600164
394,343,Puistolantori,Parkstads torg,Puistolantori,Puistolantori 1,Parkstads torg 1, , , ,12,25.0458546004102,60.2743699271658
395,344,Puistolan asema,Parkstad järnvägsstation,Puistolan asema,Tapulikaupungintie 1,Stapelstadsvägen 1, , , ,16,25.0343501212405,60.2751896029642
396,346,Maatullinkuja,Landtullsgränden,Maatullinkuja,Maatullinkuja 17,Landtullsgränden 17, , , ,18,25.0246919817259,60.2762367892689
397,347,Sateenkaarentie,Regnbågsvägen,Sateenkaarentie,Suutarilantie 60,Skomakarbölevägen 60, , , ,18,25.0110629825049,60.2807560752423
398,348,Siltamäki,Brobacka,Siltamäki,Jousimiehentie 3,Skyttens väg 3, , , ,12,24.9893966166804,60.2744670938261
399,349,Töyrynummentie,Lidmalmsvägen,Töyrynummentie,Töyrynummentie 2,Lidmalmsvägen 2, , , ,16,25.0039702918602,60.2719623839468
400,350,Töyrynummi,Lidamalmen,Töyrynummi,Pertunpellontie 4,Bertåkersvägen 4, , , ,14,24.9929902179008,60.2671467662216
401,351,Kotinummentie,Hemmalmsvägen,Kotinummentie,Kotinummentie 68,Hemmalmsvägen 68, , , ,16,25.0135723691851,60.2675063004499
402,345,Porvarintie,Borgarvägen,Porvarintie,Porvarintie 8-10,Borgarvägen 8-10, , , ,16,25.032655333,60.27189034
403,353,Helluntairaitti,Pingststråket,Helluntairaitti,Tasankotie 14,Slättvägen 14, , , ,20,25.0368876017095,60.2632142978322
404,352,Tapanilan asema,Mosabacka järnvägsstation,Tapanila railway station,Sompiontori 1,Sompiotorget 1, , , ,12,25.0281239739891,60.2633039538104
405,354,Saniaiskuja,Ormbunksgränden,Saniaiskuja,Saniaiskuja 1,Ormbunksgränden 1, , , ,16,25.0290905800296,60.25909156602
406,355,Halmetie,Brännvägen,Halmetie,Vanha Tapaninlantie 70,Gamla Staffansbyvägen 70, , , ,16,25.0176577469294,60.2609068068142
407,356,Laulurastaantie,Trastvägen,Laulurastaantie,Laulurastaantie 25,Trastvägen 25, , , ,14,25.0033102423416,60.2608846521727
408,357,Vanha Tapanilantie,Gamla Staffansbyvägen,Vanha Tapanilantie,Kirkonkyläntie 79,Kyrkobyvägen 79, , , ,16,24.9897538768656,60.2596990442275
409,358,Syystie,Höstvägen,Syystie,Kirkonkyläntie 34,Kyrkobyvägen 34, , , ,18,24.9986055764439,60.256671174374
410,359,Malmin sairaala,Malms sjukhus,Malmi Hospital,Kirkonkyläntie 23,Kyrkobyvägen 23, , , ,16,25.0028280196256,60.2541586216461
411,360,Malmin asema,Malm järnvägsstation,Malmi railway station,Ylä-Malmin tori 3,Övre Malms torg 3, , , ,24,25.0091215694658,60.2523255258372
412,361,Huhtakuja,Fallåkersgränden,Huhtakuja,Kotinummentie 5,Hemmalmsvägen 5, , , ,16,25.0131080169475,60.2575633298897
413,362,Teerisuontie,Orrmossevägen,Teerisuontie,Teerisuontie 27,Orrmossevägen 27, , , ,14,25.0214900833646,60.2533940877891
414,364,Ala-Malmin tori,Nedre Malms torg,Ala-Malmin tori,Pikkalankatu 5,Pickalagatan 5, , , ,20,25.0132371443462,60.2503063500603
415,363,Väärämäentie,Vindobackavägen,Väärämäentie,Väärämäentie 2-4,Vindobackavägen 2-4, , , ,12,25.0297267023462,60.2426928298539
416,365,Karviaistie,Stickelvägen,Karviaistie,Karviaistie 3,Stickelvägen 3, , , ,16,25.0078604417066,60.2468453049551
417,366,Tilketori,Drevtorget,Tilketori,Tilketori 1,Drevtorget 1, , , ,20,25.0039930501515,60.2498265610789
418,367,Karhusuontie,Björnkärrsvägen,Karhusuontie,Karhusuontie 27,Björnkärrsvägen 27, , , ,14,24.9870649315623,60.2517795830055
419,372,Jokipellontie,Åfältsvägen,Jokipellontie,Jokipellontie 10,Åfältsvägen 10, , , ,16,24.9833214791834,60.2452177923159
420,368,Pukinmäen liikuntapuisto,Bocksbacka idrottspark,Pukinmäki sports park,Kenttätie 10,Fältvägen 10, , , ,14,24.9917239060614,60.2477323351629
421,369,Pukinmäen asema,Bocksbacka järnvägsstation,Pukinmäki railway station,Pukinmäenaukio 4,Bocksbackaplanen 4, , , ,16,24.9939952300621,60.2430864481668
422,370,Rapakiventie,Örstensvägen,Rapakiventie,Lucina Hagmanin kuja 1,Lucina Hagmans gränd 1, , , ,16,25.0013676173171,60.2393196827549
423,391,Tollinpolku,Tollsstigen,Tollinpolku,Luutnantinpolku 7a,Juustensvägen 4, , , ,12,24.8677110166808,60.245908525041
424,373,Mikkolantie,Mickelsvägen,Mikkolantie,Mikkolantie 12,Mickelsvägen 12, , , ,16,24.9715442521575,60.2355666358133
425,374,Etupellonpuisto,Framåkersparken,Etupellonpuisto,Yhdyskunnantie 22,Samhällsvägen 22, , , ,18,24.95944937493,60.2419862673955
426,375,Piikintie,Piksvägen,Piikintie,Yhdyskunnantie 54,Samhällsvägen 54, , , ,12,24.9581440446396,60.2488559062646
427,376,Torpparinmäentie,Torparbacksvägen,Torpparinmäentie,Kuusmiehenkaari 5,Sexmansbågen 5, , , ,14,24.9447682689237,60.2568807091704
428,379,Paloheinän kirjasto,Svedängens bibliotek,Paloheinän kirjasto,Paloheinäntie 22,Svedängsvägen 22, , , ,18,24.9416682057603,60.2495097085073
429,377,Paloheinän maja,Svedängens stuga,Paloheinän maja,Pakilantie 124,Baggbölevägen 124, , , ,20,24.9183008944604,60.2552356088463
430,378,Paloheinäntie,Svedängsvägen,Paloheinäntie,Pakilantie 91,Baggbölevägen 91, , , ,16,24.9238580658345,60.2469918098113
431,380,Pirkkolan liikuntapuisto,Britas idrottspark,Pirkkolan liikuntapuisto,Pirkkolan metsätie 6,Britas skogsväg 6, , , ,14,24.9097508532821,60.232734803775
432,381,Maununneva,Magnuskärr,Maununneva,Kaarelantie 14,Kårbölevägen 14, , , ,14,24.8989998259643,60.2444085812279
433,307,Ulappasilta,Fjärdbron,Ulappasilta,Ulappasilta 1,Fjärdbron 1, , , ,18,25.1410458716813,60.2066160428581
434,382,Hakuninmaa,Håkansåker,Hakuninmaa,Perhekunnantie 8,Husfolksvägen 8, , , ,16,24.8970699007855,60.252967146995
435,383,Kuninkaantammi,Kungseken,Kuninkaantammi,Kuninkaantammenkierto 22,Kungseksringen 22, , , ,20,24.892757395895,60.259256054776
436,384,Kalannintie,Kalantivägen,Kalannintie,Kalanninpolku,Kalantistigen, , , ,14,24.8841075429141,60.2528066323977
437,386,Kannelmäen liikuntapuisto,Gamlas idrottspark,Kannelmäen liikuntapuisto,Kanneltie 12,Kantelevägen 12, , , ,16,24.8788004950615,60.2437463425961
438,385,Pajupillintie,Videlåtsvägen,Pajupillintie,Vanhaistentie 3,Gamlasvägen 3, , , ,16,24.8861026255016,60.2432353029777
439,387,Kauppakeskus Kaari,Köpcentrum Kaari,Shopping Center Kaari,Kantelettarentie 1,Kanteletarvägen 1, , , ,16,24.8894796721591,60.2363305501839
440,388,Kaustisentie,Kaustbyvägen,Kaustisentie,Pelimannintie,Spelmansvägen, , , ,16,24.8814517125501,60.2378065223104
441,389,Kannelmäen asema,Gamlas järnvägsstation,Kannelmäki railway station,Sitratori 2,Cittertorg 2, , , ,20,24.8766472489767,60.2393459909658
442,371,Savela,Lerstrand,Savela,Ratavallintie 6,Banvallsvägen 6, , , ,14,24.9913872585832,60.2404948542171
443,390,Trumpettikuja,Trumpetgränden,Trumpettikuja,Trumpettitie 3,Trumpetvägen 3, , , ,16,24.869109999497,60.2391561100934
444,392,Viljelijäntie,Odlarvägen,Viljelijäntie,Viljelijäntie 5,Odlarvägen 5, , , ,16,24.8572979635334,60.2432334444678
445,393,Malminkartanon asema,Malmgård järnvägsstation,Malminkartano railway station,Luutnantinaukio,Löjtnantsplatsen, , , ,20,24.8631156423813,60.2478178576762
446,394,Tuohipolku,Näverstigen,Tuohipolku,Tuohipolku 1,Näverstigen 1, , , ,12,24.8574322593556,60.2515646859168
447,395,Honkasuo,Hongasmossa,Honkasuo,Naapuripellontie 27,Naboängsvägen 27, , , ,16,24.8465809743929,60.255557476007
448,396,Malminkartanonhuippu,Malmgårdstoppen,Malminkartano Hill,Naapuripellontie 7,Naboängsvägen 7, , , ,12,24.8486486878388,60.2504077926351
449,397,Hankasuontie,Hankmossvägen,Hankasuontie,Malminkartanontie 2,Malmgårdsvägen, , , ,16,24.8475860266275,60.2447437736882
450,398,Ajomiehentie,Körkarlsvägen,Ajomiehentie,Ajomiehentie 1,Körkarlsvägen 1, , , ,20,24.8512905063639,60.2388821009165
451,399,Vähäntuvantie,Lillstuvägen,Vähäntuvantie,Kylväjäntie 12,Såningsmansvägen 12, , , ,14,24.846165047021,60.2324510345281
452,400,Kuusisaari,Granö,Kuusisaari,Kuusisaarenpolku 1,Granöstigen 1, , , ,16,24.8567965996401,60.1845083389847
453,401,Koivusaari (M),Björkholmens metrostation,Koivusaari metro station,Sotkatie 11,Dykandsvägen 11, , , ,16,24.8551642686834,60.1633863116225
454,402,Bermudankuja,Bermudagränden,Välimerenkatu,Atlantinkatu 10,Atlantgatan 10, , , ,16,24.9101421129463,60.1549042600429
455,403,Verkkosaari,Nätholmen,Verkkosaari,Tukkutorinkuja 3,Partitorgsgränden, , , ,20,24.9775480765957,60.1895561753156
456,404,Sompasaari,Sumparn,Sompasaari,Sompasaarenlaituri 2,Sumparkajen 2, , , ,14,24.9760758238593,60.1829308185667
457,405,Jollas,Jollas,Jollas,Jollaksentie 33,Jollasvägen 33, , , ,16,25.0616678668253,60.1644074899774
